Nombre,Ciudad,Estado,Relación_profesional,Responsabilidad,Requisitos,Toda,Sueldo,Ingreso_mensual,Diferencia
Encargado de control de plagas y enfermedades,"Taretan, Michoacán",Michoacán de Ocampo,Laboratorio,"Encargado de control de plagas y enfermedades, Si eres una persona enfocada al manejo integrado de plagas y enfermedades, monitoreando los cultivos para mitigar las afectaciones causadas por estas., Experiencia en el manejo de plagas y enfermedades., Conocimiento de apps para medición de áreas.",,"¡Únete a nuestro equipo! 
Empresa Líder en el sector agroindustrial y producción de alimentos, busca tu talento como:
Encargado de control de plagas y enfermedades
Si eres una persona enfocada al manejo integrado de plagas y enfermedades, monitoreando los cultivos para mitigar las afectaciones causadas por estas.
 ¡ESTE ES TU LUGAR!
Funciones del puesto:
 Monitorear la abundancia poblacional de las plagas e identificar sus periodos reproductivos para actuar antes de que impliquen perdidas económicas. 
 Controlar las poblaciones de plagas con métodos mecánicos, biológicos y químicos de bajo impacto para el ambiente.
Elaborar reportes diarios de evaluaciones realizadas, dando alerta del aumento de las plagas.
¿Qué requisitos debes cumplir?
Formación en agronomía, biólogo o afín.
Experiencia en el manejo de plagas y enfermedades.
Conocimiento de apps para medición de áreas.
¿Qué te ofrece la empresa?
Cultura organizacional colaborativa y enfocada en el desarrollo.
Salario competitivo y beneficios superiores a la ley.
Si cumples con el perfil postúlate por medio de esta plataforma y nos pondremos en contacto contigo.",17000,11200,5800
Profesor/a para Curso de Terapia Física y Rehabilitación,"Coacalco de Berriozábal, Estado de México",México,Laboratorio,Experiencia mínima de 1 año comprobable.,,"Se solicita instructor/instructora para impartir clases frente a grupos de cursos de Terapia Física y Rehabilitación en la empresa escuela libre de terapias alternativas Andrew Taylor Still

Requisitos:
*Escolaridad: Lic. en Fisioterapia, estudios con área afín.
*Facilidad de palabra y trato con personas. Dominio de publico.
*Experiencia mínima de 1 año comprobable.
*Disponibilidad de horario por las mañanas (nuestras clases son un día por semana de 9:00/9:30 am a 2:00/2:30 pm).
*Con domicilio cercano a las instalaciones de la empresa

Las clases que impartimos son un día por semana por las mañanas, 4 horas y media efectivas de clase y media hora de receso, cada día es un grupo diferente, se van programando grupos nuevos cada 2 meses aproximadamente hasta llenar la semana de lunes a sábado. Los días próximos a iniciar clases son para Jueves y Viernes a finales de Abril 2025. El pago es por honorarios.

Te recomendamos visitar nuestra pagina web para visualizar el temario de lo que impartimos, nos encuentras como Escuela libre de terapias alternativas Andrew Taylor Still

Interesados enviar Curriculum para concretar entrevista.",16800,17100,-300
Quimico Analista CNR Monterrey,"Monterrey, Nuevo León",Nuevo León,Laboratorio,"En Salud Digna nos encontramos en búsqueda de personal como QUIMICO ANALISTA DE LABORATORIO para nuestro CENTRO NACIONAL DE REFERENCIA ubicado en Conchello 1916, Terminal, 64580 Monterrey, N.L., Experiencia Mínima de 1 año en Puesto similar y Manejo de Equipos automatizados de laboratorio, Realizar los estudios pertinentes en cada una de las áreas del laboratorio clínico (inmunología, química clínica, uroanálisis, parasitología, serología, hematología, microbiología, etc.). Cumplir con el proceso de las muestras del área que tiene a cargo con eficiencia y calidad, asimismo brindarle una atención personalizada y cálida al paciente.",,"En Salud Digna nos encontramos en búsqueda de personal como *QUIMICO ANALISTA DE LABORATORIO* para nuestro CENTRO NACIONAL DE REFERENCIA ubicado en Conchello 1916, Terminal, 64580 Monterrey, N.L. 
 Requisitos: 
Experiencia Mínima de 1 año en Puesto similar y Manejo de Equipos automatizados de laboratorio 
Y conocimientos en toma y procesamientos de muestras biológicas. 
Escolaridad: Lic. Químico Farmacobiologo, Lic. Química Clínica, Lic. Químico Bacteriólogo Parasitólogo y Lic. Químico Biólogo Clínico (CON TITULO Y CEDULA EN MANO) 
Disponibilidad de Horario y puntual 

Funciones: 
Realizar los estudios pertinentes en cada una de las áreas del laboratorio clínico (inmunología, química clínica, uroanálisis, parasitología, serología, hematología, microbiología, etc.). Cumplir con el proceso de las muestras del área que tiene a cargo con eficiencia y calidad, asimismo brindarle una atención personalizada y cálida al paciente. 

Ofrecemos: 
Sueldo $16,370 
Prestaciones de ley 
3 días libres al año para tus eventos importantes 
Descuento en clínica para colaborador y familia directa 
Oportunidad de crecimiento 

Interesados postularse por este medio y/o enviar su CV a la dirección de correo electrónico que aparece colocando como asunto el nombre de la vacante.",16370,23500,-7130
Quimicofarmacobiólogo/a,"Tijuana, Baja California",Baja California,Industria de Producción Biológica,SUPERVISAR EL PROCESO DE CALIDAD,,"SUPERVISOR  JR QUIMICO FARMACO BIOLOGO 
AREA DE CALIDAD DE ALMACEN
SUPERVISAR EL PROCESO DE CALIDAD
HORARIO LUNES A VIERNES 8 A 5 30 PM
16300 BRUTOS MAS 1404 DE VALES DE DESPENSA",16300,18800,-2500
QUIMICO Y REGULACION,"Monterrey, N.L.",Nuevo León,Laboratorio,"Garantizar a los clientes la calidad en el servicio de exámenes clìnicos y en el proceso de muestras de sangre, orina y citológicas, reportando oportunamente los resultados para asegurar que el servicio se entregue en tiempo y forma., Revisa cada uno de los equipos de laboratorio diariamente, así como el material necesario para el proceso de las pruebas solicitadas, verificando su correcto funcionamiento al momento del encendido para mantener en óptimas condiciones de uso los equipos de laboratorio.Mantiene y verifica el abasto de material adicional para los exámenes de laboratorio (preparación de frascos y kits), verificando diariamente el material utilizado para garantizar que el servicio se otorgue sin contratiempos provocados por faltantes.Atiende a los clientes citados para toma de muestras sanguíneas y papanicolaos, verificando identificación, enviando ó entregando diariamente resultados de laboratorio así como registrando la recepción del cliente, haciéndolo pasar para el respectivo estudio por parte del médico y redactando el informe o ficha con la información necesaria para asegurar la atención de los asegurados, el control de las citas y recopilar la información completa del cliente. Detecta problemas del equipo de laboratorio y los reporta para su reparación inmediata, detectando prematuramente las posibles fallas y solicitando el apoyo del Coordinador de Laboratorio para mantener en óptimas condiciones el equipo de laboratorio.Recibe las muestras foráneas y envía los resultados a las oficinas correspondientes, así como controla mensualmente los resultados para estadística de los estudios realizados en División y Oficinas Regionales, vaciando los datos, recolectando la información generada de pruebas, registrando resultados obtenidos y verificando que la información haya sido reportada correctamente, para garantizar el envío de los resultados de manera oportuna a las oficinas regionales y mantener actualizada la información obtenida de los estudios.Envía, da seguimiento y controla muestras para ratificación de resultados positivos y fuera de rangos normales, revisando que los resultados obtenidos cuenten con las características solicitadas para su control y uso posterior con la finalidad de corroborar que las mediciones obtenidas sean correctas., Minimo 2 años de experiencia c en toma de muestras clínicas., Conocimiento del procesamiento de pruebas clìnicas., En nuestra empresa valoramos la diversidad y la inclusión en nuestro equipo, y estamos comprometidos con la equidad en todas nuestras prácticas laborales. Creemos que las diferencias nos enriquecen y nos hacen más fuertes, y queremos que cada persona se sienta bienvenida y escuchada en nuestro entorno de trabajo. Por eso, trabajamos para asegurarnos de que todos nuestros procesos de selección sean libres de discriminación, sin importar el origen étnico o nacional, el color de piel, la cultura, el sexo, el género, la identidad de género, la orientación sexual, la expresión de género, la edad, las discapacidades, la condición social, económica o de salud, la religión, la apariencia física, el embarazo, el estado civil o cualquier otra característica personal. No solicitamos certificados médicos de no embarazo o virus de inmunodeficiencia humana (VIH) como requisitos para el ingreso, permanencia o ascenso en el empleo.",Minimo 2 años de experiencia c en toma de muestras clínicas.,"Descripción, ¡Intégrate a un gran equipo de trabajo! Nuestra empresa ha sido reconocida como uno de los Mejores Lugares para Trabajar en México y deseamos que personas talentosas y comprometidas formen parte de esta experiencia. Actualmente, tenemos disponible la posición comoQuimico y Regulación MISION:Garantizar a los clientes la calidad en el servicio de exámenes clìnicos y en el proceso de muestras de sangre, orina y citológicas, reportando oportunamente los resultados para asegurar que el servicio se entregue en tiempo y forma.FUNCIONES:Revisa cada uno de los equipos de laboratorio diariamente, así como el material necesario para el proceso de las pruebas solicitadas, verificando su correcto funcionamiento al momento del encendido para mantener en óptimas condiciones de uso los equipos de laboratorio.Mantiene y verifica el abasto de material adicional para los exámenes de laboratorio (preparación de frascos y kits), verificando diariamente el material utilizado para garantizar que el servicio se otorgue sin contratiempos provocados por faltantes.Atiende a los clientes citados para toma de muestras sanguíneas y papanicolaos, verificando identificación, enviando ó entregando diariamente resultados de laboratorio así como registrando la recepción del cliente, haciéndolo pasar para el respectivo estudio por parte del médico y redactando el informe o ficha con la información necesaria para asegurar la atención de los asegurados, el control de las citas y recopilar la información completa del cliente. Detecta problemas del equipo de laboratorio y los reporta para su reparación inmediata, detectando prematuramente las posibles fallas y solicitando el apoyo del Coordinador de Laboratorio para mantener en óptimas condiciones el equipo de laboratorio.Recibe las muestras foráneas y envía los resultados a las oficinas correspondientes, así como controla mensualmente los resultados para estadística de los estudios realizados en División y Oficinas Regionales, vaciando los datos, recolectando la información generada de pruebas, registrando resultados obtenidos y verificando que la información haya sido reportada correctamente, para garantizar el envío de los resultados de manera oportuna a las oficinas regionales y mantener actualizada la información obtenida de los estudios.Envía, da seguimiento y controla muestras para ratificación de resultados positivos y fuera de rangos normales, revisando que los resultados obtenidos cuenten con las características solicitadas para su control y uso posterior con la finalidad de corroborar que las mediciones obtenidas sean correctas.ESCOLARIDAD:Químico farmaco-biólogoEXPERIENCIA:Minimo 2 años de experiencia c en toma de muestras clínicas.ESPECIALIZACIÓN:Conocimiento del procesamiento de pruebas clìnicas.NIVEL DE ESPECIALIZACIÓN:Especialista en toma de muestras clínicas.En nuestra empresa valoramos la diversidad y la inclusión en nuestro equipo, y estamos comprometidos con la equidad en todas nuestras prácticas laborales. Creemos que las diferencias nos enriquecen y nos hacen más fuertes, y queremos que cada persona se sienta bienvenida y escuchada en nuestro entorno de trabajo. Por eso, trabajamos para asegurarnos de que todos nuestros procesos de selección sean libres de discriminación, sin importar el origen étnico o nacional, el color de piel, la cultura, el sexo, el género, la identidad de género, la orientación sexual, la expresión de género, la edad, las discapacidades, la condición social, económica o de salud, la religión, la apariencia física, el embarazo, el estado civil o cualquier otra característica personal. No solicitamos certificados médicos de no embarazo o virus de inmunodeficiencia humana (VIH) como requisitos para el ingreso, permanencia o ascenso en el empleo.¡Esperamos tu postulación!",16000,23500,-7500
Analista de Aseguramiento de Calidad,"Zapopan, Jalisco",Jalisco,Laboratorio,Manejo de equipos y herramientas de laboratorio,,"¡Súmate al equipo de excelencia en MDC Dental!
Estamos buscando un Analista de Aseguramiento de Calidad apasionado por la innovación y las buenas prácticas para fortalecer nuestro Sistema de Gestión de Calidad en la fabricación de dispositivos médicos.

 Formación: Ing. Químico Farmacéutico Biólogo, Ing. Químico o Lic. Químico.

Experiencia: 23 años en puesto similar.

Conocimiento sólido en:

Buenas Prácticas de Laboratorio (BPL)

Normas NOM-241-SSA, ISO 9001 e ISO 13485

Manejo de equipos y herramientas de laboratorio

 ¿Qué harás?
Verificar especificaciones de materia prima, producto en proceso y terminado aplicando métodos establecidos.

Garantizar el cumplimiento de procedimientos e instrucciones de Aseguramiento de Calidad y BPL.

Dictaminar devoluciones en < 48 h.

Mantener bitácoras y bases de datos actualizadas con resultados analíticos.

Generar reportes mensuales de materiales analizados y causas de rechazo.

 Lo que te ofrecemos
Pago semanal y pago puntual 

Prestaciones de ley al 100 %

Fondo de ahorro del 5 % 

Reparto de utilidades

Contratación directa con MDC Dental

Equipo de seguridad gratuito y beneficios sociales

Comedor subsidiado 

 ¿Listo(a) para dar el siguiente paso?
Envía tu CV a ******@dental.com.mx o contáctanos por WhatsApp al 331 096 8725.
Indica en el asunto: Analista de Aseguramiento de Calidad  [Tu Nombre].

Cierre de postulación: ¡Aplica lo antes posible y forma parte de una empresa que impulsa la innovación en salud dental!

MDC Dental  Impulsando sonrisas con calidad y pasión.",16000,18600,-2600
Analista de calidad,"Mexicali, Baja California",Baja California,Laboratorio,"Experiencia demostrada en el campo de la calidad, preferiblemente en un entorno de fabricación o logística., Conocimiento comprobables en FSSC 22000,NOM 251,ISO,9001,22000 y buenas prácticas de Almacenaje, Supervisar el proceso de control de calidad en la operación, asegurando que los productos cumplan con las especificaciones y estándares requeridos., Realizar auditorías internas para evaluar el cumplimiento de los estándares de calidad y recomendar mejoras.",,"Intermerk, una empresa líder en el sector de la fabricación y distribución de productos de calidad, está buscando un Analista de Calidad y Habilidades para unirse a nuestro equipo dinámico. 

Como Analista de Calidad y Habilidades, serás responsable de garantizar la calidad de nuestros productos y servicios, y de asegurarte de que cumplimos con las normas ISO y de salud aplicables. Trabajarás en estrecha colaboración con los departamentos de producción, ingeniería y logística para implementar y mantener altos estándares de calidad en toda la empresa.

Requisitos:
- Experiencia demostrada en el campo de la calidad, preferiblemente en un entorno de fabricación o logística.
Escolaridad:
Ingeniero Químico en alimentos 
Ingeniero Químico 
Biólogo 
Afín (no ingeniero Industrial )

COMPETENCIAS:
Conocimiento comprobables en FSSC 22000,NOM-251,ISO,9001,22000 y buenas prácticas de Almacenaje  
Conocimientos en  Excel avanzado 
Conocimientos en PP Avanzado 
Conocimientos Básicos en Seguridad e Higiene Industrial 

HABILIDADES
Liderazgo 
Comunicación efectiva y Asertiva 
Trabajo Bajo presión 
Tolerancia a la frustración 
Resolución de conflictos 
Manejo de personal 
RESPONSABILIDADES:
- Establecer y mantener altos estándares de calidad en toda la empresa, asegurando el cumplimiento de las normas ISO ,inocuidad alimentaria y  seguridad Industrial  
- Ejecutar programas de formación en calidad para empleados en todos los niveles de la organización.
- Supervisar el proceso de control de calidad en la operación, asegurando que los productos cumplan con las especificaciones y estándares requeridos.
- Asegurar que se tomen acciones correctivas y preventivas para abordar cualquier desviación en la calidad.
- Realizar auditorías internas para evaluar el cumplimiento de los estándares de calidad y recomendar mejoras.
- Mantener una comunicación clara y efectiva con los departamentos internos y los proveedores externos para evitar problemas de calidad.
- Participar en reuniones y actividades relacionadas con la calidad.
-Atender auditorias externas en  materia de calidad 
-Elaborar Presentaciones  y reporte ejecutivos a Dirección de Calidad

En Intermerk, valoramos y respetamos la diversidad y la igualdad de oportunidades. Animamos a todos los candidatos cualificados, independientemente de su raza, religión, género, edad, nacionalidad o discapacidad, a que se postulen para esta posición.",16000,18800,-2800
Analista de Microbiología,"Zapopan, Jal.",Jalisco,Laboratorio,"·        Realizar pruebas de esterilidad a producto terminado de acuerdo con procedimientos establecidos y elabora los reportes correspondientes., ·        Realizar la biocarga y muestreo de sistemas críticos (sistema de agua)., ·        Realizar análisis de medios de cultivo (promoción de crecimiento y prueba de esterilidad)., ·        Realizar monitoreo microbiológico ambiental de las áreas controladas, así como el monitoreo de manos del personal., ·        Participar en la calificación de equipo de laboratorio y en la validación de patrones de carga de las autoclaves del laboratorio., ·        Realizar las pruebas de esterilidad a bioindicadores para estudios de validación de acuerdo con procedimientos establecidos y emite el reporte correspondiente., ·        Realizar pruebas microbiológicas para protocolos de validación., ·        Realizar pruebas de resistencia térmica de acuerdo con PNO., ·        Recibir muestras para pruebas microbiológicas., ·        Técnicas de laboratorio y Seguridad en el laboratorio., ·        Manejo de reactivos químicos, tecnología farmacéutica.",,"Descripción, Importante empresa del sector farmacéutico con presencia a nivel internacional se encuentra en búsqueda de Analista de Microbiología que cumpla con los siguientes requisitos:Escolaridad:Licenciatura en Químico Farmacéutico Biólogo o carrera afín.Experiencia: Mínima de 3 años en puestos similares; preferentemente industria farmacéutica.Actividades:·        Realizar pruebas de esterilidad a producto terminado de acuerdo con procedimientos establecidos y elabora los reportes correspondientes.·        Realizar la biocarga y muestreo de sistemas críticos (sistema de agua).·        Realizar análisis de medios de cultivo (promoción de crecimiento y prueba de esterilidad).·        Realizar monitoreo microbiológico ambiental de las áreas controladas, así como el monitoreo de manos del personal.·        Participar en la calificación de equipo de laboratorio y en la validación de patrones de carga de las autoclaves del laboratorio.·        Realizar las pruebas de esterilidad a bioindicadores para estudios de validación de acuerdo con procedimientos establecidos y emite el reporte correspondiente.·        Verificar el estado de mantenimiento, calificación y calibración de los equipos e instrumentos asignados.·        Realizar pruebas microbiológicas para protocolos de validación.·        Realizar pruebas de resistencia térmica de acuerdo con PNO.·        Manejar el Sistema SCADA.·        Recibir muestras para pruebas microbiológicas.Conocimientos:·        Técnicas de laboratorio y Seguridad en el laboratorio.·        Manejo de reactivos químicos, tecnología farmacéutica.·        Buenas Prácticas de Laboratorio·        Buenas Prácticas de Manufactura.·        Pruebas microbiológicas.·        Paquetería Office.Ofrecemos:·        Contratación directa por la empresa.·        Atractivo sueldo.·        Prestaciones superiores a la ley.·        Disponibilidad de rolar turnos de 8 horas.",15800,18600,-2800
Auxiliar Administrativa,"Puebla, Puebla",Puebla,Otro,,,"¡Te estamos buscando!

Auxiliar de Administrativa (Logística)

Objetivo del Puesto: Procesar la información que se maneja dentro del Almacén de Producto Terminado.

RESPONSABILIDADES:

* Facturación y asignación de lotes conforme a PE-PS para surtir los pedidos de venta.

* Subir facturas al portal de los clientes

* Seguimiento a entregas con citas

* Solicitud de datos requeridos para carga de pedidos de acuerdo a capacidad de unidades de transporte.

REQUISITOS:

* Escolaridad: Licenciatura Concluida (Administración, Logística, Ingeniería Industrial)
* Sexo femenino
* Experiencia: Mínimo 2 años, conocimiento en facturación , Manejo de SAP (INDISPENSABLE), Inventario, Clientes Retail.

Tipo de puesto: Tiempo completo

Sueldo: $15,600.00 al mes

Beneficios:

Estacionamiento de la empresa
Servicio de comedor con descuento
Vales de despensa
Apoyo para combustible

Si estas interesada 221 (ciento cinco) (cincuenta y siete)  (veintitrés)
reclutamiento (arroba) quimicasons (punto) com (punto (mx)

Lunes a viernes
Turno matutino


Fecha de inicio prevista: 30/03/2025",15600,12600,3000
Auxiliar Administrativa,"San Andrés Cholula, Puebla",Puebla,Otro,,,"¡Te estamos buscando!



AUXILIAR ADMINISTRATIVA ALMACÉN DE PT



RESPONSABILIDADES:

Facturación y asignación de lotes conforme a PE-PS para surtir los pedidos de venta.
Subir las facturas al portal de los clientes.
Seguimiento a entregas con cita.
Solicitud de datos requeridos para carga de pedidos de acuerdo a capacidad de unidades de transporte.


REQUISITOS:

Escolaridad: Licenciatura concluida (Administración, Logística, Contabilidad, Ingeniería Industrial)
Experiencia: 2 años mínimo -Manejo de SAP, Portales de Clientes Retail, Facturación, Inventario.",15600,12600,3000
QUIMICO FARMACÉUTICO BIOLOGO,"León, Gto.",Guanajuato,Laboratorio,"AB Medical es una empresa líder en el sector de la administración de biológicos de alta especialidad. Con más de 13 años de experiencia en el mercado, nos destacamos por nuestro compromiso con la calidad y servicio a nuestros pacientes. Ofrecemos un ambiente laboral dinámico y colaborativo, oportunidades de crecimiento profesional y un equipo comprometido con el éxito de nuestros clientes y colaboradores., Encargado con responsabilidad técnica, operativa y administrativa, que consiste en planificar, organizar, evaluar y supervisar el medicamento de la clínica, asegurando la implementación del sistema de calidad, monitoreo y cumplimiento de la norma., Licenciado como Químico Farmacéutico Biólogo con TÍTULO Y CÉDULAMin. 2 años de experiencia en Farmacia. (No recién egresados)Min. 25 años en adelanteConocimiento en medicamentos de alta especialidad, Establecer procedimientos para la adquisición, recepción, almacenamiento, dispensación y distribución de los medicamentos apegado a la normatividad vigente.Seguimiento a sistemas farmacéuticos para el mejoramiento de la clínicaImplementar, dirigir y administrar recursos necesarios para la operación eficiente de la farmacia.Recibir los pedidos, identificando que el medicamento llegue en las óptimas condiciones y no se encuentre caducado.Supervisar el almacenamiento del medicamento adecuado.Supervisar la recepción de los medicamentos que lleguen en óptimas condiciones.Verificar lotes y fechas de caducidad identificando alertas sanitarias.Realizar inventarios de farmacia y almacénRealizar la dispensación de material y medicamentos a enfermeríaRevisar calendario y receta de pacientes para la verificación de tratamiento.Mantener abastecida la farmacia y realizar pedidos necesarios para tratamientos.","AB Medical es una empresa líder en el sector de la administración de biológicos de alta especialidad. Con más de 13 años de experiencia en el mercado, nos destacamos por nuestro compromiso con la calidad y servicio a nuestros pacientes. Ofrecemos un ambiente laboral dinámico y colaborativo, oportunidades de crecimiento profesional y un equipo comprometido con el éxito de nuestros clientes y colaboradores., Licenciado como Químico Farmacéutico Biólogo con TÍTULO Y CÉDULAMin. 2 años de experiencia en Farmacia. (No recién egresados)Min. 25 años en adelanteConocimiento en medicamentos de alta especialidad","Descripción, AB Medical es una empresa líder en el sector de la administración de biológicos de alta especialidad. Con más de 13 años de experiencia en el mercado, nos destacamos por nuestro compromiso con la calidad y servicio a nuestros pacientes. Ofrecemos un ambiente laboral dinámico y colaborativo, oportunidades de crecimiento profesional y un equipo comprometido con el éxito de nuestros clientes y colaboradores.Descripción del puesto:Encargado con responsabilidad técnica, operativa y administrativa, que consiste en planificar, organizar, evaluar y supervisar el medicamento de la clínica, asegurando la implementación del sistema de calidad, monitoreo y cumplimiento de la norma.Requisitos:Licenciado como Químico Farmacéutico Biólogo con TÍTULO Y CÉDULAMin. 2 años de experiencia en Farmacia. (No recién egresados)Min. 25 años en adelanteConocimiento en medicamentos de alta especialidadResponsabilidades:Establecer procedimientos para la adquisición, recepción, almacenamiento, dispensación y distribución de los medicamentos apegado a la normatividad vigente.Seguimiento a sistemas farmacéuticos para el mejoramiento de la clínicaImplementar, dirigir y administrar recursos necesarios para la operación eficiente de la farmacia.Recibir los pedidos, identificando que el medicamento llegue en las óptimas condiciones y no se encuentre caducado.Supervisar el almacenamiento del medicamento adecuado.Supervisar la recepción de los medicamentos que lleguen en óptimas condiciones.Verificar lotes y fechas de caducidad identificando alertas sanitarias.Realizar inventarios de farmacia y almacénRealizar la dispensación de material y medicamentos a enfermeríaRevisar calendario y receta de pacientes para la verificación de tratamiento.Mantener abastecida la farmacia y realizar pedidos necesarios para tratamientos.Prestaciones y beneficios:Sueldo de $16,000.00 menos impuestos.Prestaciones de LeyAguinaldo a 30 díasBono de puntualidad (a partir del 3er mes)Vale de despensa (a partir del 3er mes)Seguro de Gastos Médicos Mayores (al año)Acceso a Wellhub para la red de gimnasios, spa, pádel, crossfit, pilates, acompañamiento psicológico y nutriólogo.Precisos preferenciales en comedorUniformes gratuitos",15000,13500,1500
"BIOLOGO, ING. AGRONOMO, QUIMICO","Naucalpan, Naucalpan de Juárez, Edo. Méx.​",México,Laboratorio,"ROOST CONTROL DE PLAGAS Y SERVICIOS,, Compañía con más de 20 años de experiencia en servicios a gobierno y sector privado, reconocida como una de las principales compañías de servicios de control de plagas, faunas nocivas, jardinería, desinfección patógena, limpieza de hospitales, etc., está en busca de:, Experiencia en Control de Plagas., Experiencia mínima de 2 años en licitaciones públicas, elaboración y desarrollo de anexos técnicos. (Requisito necesario)., Seguimiento a los actos licitatorios y conocimiento en Anexos Técnicos","Compañía con más de 20 años de experiencia en servicios a gobierno y sector privado, reconocida como una de las principales compañías de servicios de control de plagas, faunas nocivas, jardinería, desinfección patógena, limpieza de hospitales, etc., está en busca de:, Experiencia en Control de Plagas., Experiencia mínima de 2 años en licitaciones públicas, elaboración y desarrollo de anexos técnicos. (Requisito necesario).","Descripción, ROOST CONTROL DE PLAGAS Y SERVICIOS, Compañía con más de 20 años de experiencia en servicios a gobierno y sector privado, reconocida como una de las principales compañías de servicios de control de plagas, faunas nocivas, jardinería, desinfección patógena, limpieza de hospitales, etc., está en busca de: BIÓLOGO, ING. AGRONOMO, QUÍMICO CONOCIMIENTOS Y REQUISITOS:Procedimiento para realizar licitaciones Nacionales.Titulado (con cédula profesional).Manejo Plataforma CompranetExperiencia en Control de Plagas.Experiencia mínima de 2 años en licitaciones públicas, elaboración y desarrollo de anexos técnicos. (Requisito necesario).Disponibilidad de tiempoHABILIDADES y ACTITUDES:Creativo, Iniciativa, Proactivo.Trabajo en equipo y bajo presión.Capacidad de Análisis.Calidad en el trabajoFUNCIONES PRIMORDIALES:Análisis técnico en:Licitaciones PúblicasDocumentación solicitada en las bases del procedimiento licitatorio.Elaboración de Propuesta Técnica y preparación de documentos de acuerdo y conforme al plan de Licitaciones y procedimientos establecidos.Seguimiento a los actos licitatorios y conocimiento en Anexos TécnicosApoyo y seguimiento en consolidación de proyectos y contratos.Elaboración de reportes.Atención a clientes.Se ofrece: Atractivo sueldo competitivo + Prestaciones de Ley + Oportunidad de Crecimiento a Corto PlazoHorario de lunes a viernes de 9:30 a 6:30 y sábado de 9:30 am a 2:30 pmZonas para laborar: Cd. Satélite, Naucalpan, Edo. De México.Contratación inmediataAtención; Lic. Liliam Mateos» Cantidad de vacantes: 2",15000,17100,-2100
Supervisor de producción y calidad,"Iztapalapa, CDMX",Ciudad de México,Laboratorio,"Dar arranque y supervisar las líneas de producción, desde la etapa de fabricación, hasta el acondicionamiento secundario.Asegurar el desempeño y buen funcionamiento de las líneas de producción, incluyendo área, personal y equipo.Capacitar al personal conforme a Matriz de Inducción al Puesto.Coordinar las actividades de limpieza y sanitización de áreas y equipo.Asegurar que se trabaje conforme a la NOM-059-SSA1., Contar con 2 años de experiencia en Industria Farmacéutica en:ProducciónBuenas Prácticas de Fabricación de MedicamentosControl de operaciones de fabricación y control en procesosBuenas Prácticas de DocumentaciónTiempos y movimientosCierre de expedientes de producciónControl de mermasConocimiento de la NOM-059-SSA1Seguridad e HigieneManejo de personal",Contar con 2 años de experiencia en Industria Farmacéutica en:ProducciónBuenas Prácticas de Fabricación de MedicamentosControl de operaciones de fabricación y control en procesosBuenas Prácticas de DocumentaciónTiempos y movimientosCierre de expedientes de producciónControl de mermasConocimiento de la NOM-059-SSA1Seguridad e HigieneManejo de personal,"Descripción, Escolaridad: Licenciatura concluida (Titulo y Cédula) de alguna de las siguientes carreras: Químico Farmacéutico Biólogo, Químico Farmacéutico Industrial, Ingeniero Farmacéutico o afín.ResponsabilidadesDar arranque y supervisar las líneas de producción, desde la etapa de fabricación, hasta el acondicionamiento secundario.Asegurar el desempeño y buen funcionamiento de las líneas de producción, incluyendo área, personal y equipo.Capacitar al personal conforme a Matriz de Inducción al Puesto.Coordinar las actividades de limpieza y sanitización de áreas y equipo.Asegurar que se trabaje conforme a la NOM-059-SSA1.ExperienciaContar con 2 años de experiencia en Industria Farmacéutica en:ProducciónBuenas Prácticas de Fabricación de MedicamentosControl de operaciones de fabricación y control en procesosBuenas Prácticas de DocumentaciónTiempos y movimientosCierre de expedientes de producciónControl de mermasConocimiento de la NOM-059-SSA1Seguridad e HigieneManejo de personal",15000,29500,-14500
