Nombre,Ciudad,Estado,Relación_profesional,Responsabilidad,Requisitos,Toda,Sueldo,Ingreso_mensual,Diferencia,id_estado,id_relaciones
Analista de Aseguramiento de Calidad,"Zapopan, Jalisco",Jalisco,Laboratorio,Manejo de equipos y herramientas de laboratorio,,"¡Súmate al equipo de excelencia en MDC Dental!
Estamos buscando un Analista de Aseguramiento de Calidad apasionado por la innovación y las buenas prácticas para fortalecer nuestro Sistema de Gestión de Calidad en la fabricación de dispositivos médicos.

 Formación: Ing. Químico Farmacéutico Biólogo, Ing. Químico o Lic. Químico.

Experiencia: 23 años en puesto similar.

Conocimiento sólido en:

Buenas Prácticas de Laboratorio (BPL)

Normas NOM-241-SSA, ISO 9001 e ISO 13485

Manejo de equipos y herramientas de laboratorio

 ¿Qué harás?
Verificar especificaciones de materia prima, producto en proceso y terminado aplicando métodos establecidos.

Garantizar el cumplimiento de procedimientos e instrucciones de Aseguramiento de Calidad y BPL.

Dictaminar devoluciones en < 48 h.

Mantener bitácoras y bases de datos actualizadas con resultados analíticos.

Generar reportes mensuales de materiales analizados y causas de rechazo.

 Lo que te ofrecemos
Pago semanal y pago puntual 

Prestaciones de ley al 100 %

Fondo de ahorro del 5 % 

Reparto de utilidades

Contratación directa con MDC Dental

Equipo de seguridad gratuito y beneficios sociales

Comedor subsidiado 

 ¿Listo(a) para dar el siguiente paso?
Envía tu CV a ******@dental.com.mx o contáctanos por WhatsApp al 331 096 8725.
Indica en el asunto: Analista de Aseguramiento de Calidad  [Tu Nombre].

Cierre de postulación: ¡Aplica lo antes posible y forma parte de una empresa que impulsa la innovación en salud dental!

MDC Dental  Impulsando sonrisas con calidad y pasión.",16000,18600,-2600,14,1
Analista de calidad,"Mexicali, Baja California",Baja California,Laboratorio,"Experiencia demostrada en el campo de la calidad, preferiblemente en un entorno de fabricación o logística., Conocimiento comprobables en FSSC 22000,NOM 251,ISO,9001,22000 y buenas prácticas de Almacenaje, Supervisar el proceso de control de calidad en la operación, asegurando que los productos cumplan con las especificaciones y estándares requeridos., Realizar auditorías internas para evaluar el cumplimiento de los estándares de calidad y recomendar mejoras.",,"Intermerk, una empresa líder en el sector de la fabricación y distribución de productos de calidad, está buscando un Analista de Calidad y Habilidades para unirse a nuestro equipo dinámico. 

Como Analista de Calidad y Habilidades, serás responsable de garantizar la calidad de nuestros productos y servicios, y de asegurarte de que cumplimos con las normas ISO y de salud aplicables. Trabajarás en estrecha colaboración con los departamentos de producción, ingeniería y logística para implementar y mantener altos estándares de calidad en toda la empresa.

Requisitos:
- Experiencia demostrada en el campo de la calidad, preferiblemente en un entorno de fabricación o logística.
Escolaridad:
Ingeniero Químico en alimentos 
Ingeniero Químico 
Biólogo 
Afín (no ingeniero Industrial )

COMPETENCIAS:
Conocimiento comprobables en FSSC 22000,NOM-251,ISO,9001,22000 y buenas prácticas de Almacenaje  
Conocimientos en  Excel avanzado 
Conocimientos en PP Avanzado 
Conocimientos Básicos en Seguridad e Higiene Industrial 

HABILIDADES
Liderazgo 
Comunicación efectiva y Asertiva 
Trabajo Bajo presión 
Tolerancia a la frustración 
Resolución de conflictos 
Manejo de personal 
RESPONSABILIDADES:
- Establecer y mantener altos estándares de calidad en toda la empresa, asegurando el cumplimiento de las normas ISO ,inocuidad alimentaria y  seguridad Industrial  
- Ejecutar programas de formación en calidad para empleados en todos los niveles de la organización.
- Supervisar el proceso de control de calidad en la operación, asegurando que los productos cumplan con las especificaciones y estándares requeridos.
- Asegurar que se tomen acciones correctivas y preventivas para abordar cualquier desviación en la calidad.
- Realizar auditorías internas para evaluar el cumplimiento de los estándares de calidad y recomendar mejoras.
- Mantener una comunicación clara y efectiva con los departamentos internos y los proveedores externos para evitar problemas de calidad.
- Participar en reuniones y actividades relacionadas con la calidad.
-Atender auditorias externas en  materia de calidad 
-Elaborar Presentaciones  y reporte ejecutivos a Dirección de Calidad

En Intermerk, valoramos y respetamos la diversidad y la igualdad de oportunidades. Animamos a todos los candidatos cualificados, independientemente de su raza, religión, género, edad, nacionalidad o discapacidad, a que se postulen para esta posición.",16000,18800,-2800,2,1
Analista de Microbiología,"Zapopan, Jal.",Jalisco,Laboratorio,"·        Realizar pruebas de esterilidad a producto terminado de acuerdo con procedimientos establecidos y elabora los reportes correspondientes., ·        Realizar la biocarga y muestreo de sistemas críticos (sistema de agua)., ·        Realizar análisis de medios de cultivo (promoción de crecimiento y prueba de esterilidad)., ·        Realizar monitoreo microbiológico ambiental de las áreas controladas, así como el monitoreo de manos del personal., ·        Participar en la calificación de equipo de laboratorio y en la validación de patrones de carga de las autoclaves del laboratorio., ·        Realizar las pruebas de esterilidad a bioindicadores para estudios de validación de acuerdo con procedimientos establecidos y emite el reporte correspondiente., ·        Realizar pruebas microbiológicas para protocolos de validación., ·        Realizar pruebas de resistencia térmica de acuerdo con PNO., ·        Recibir muestras para pruebas microbiológicas., ·        Técnicas de laboratorio y Seguridad en el laboratorio., ·        Manejo de reactivos químicos, tecnología farmacéutica.",,"Descripción, Importante empresa del sector farmacéutico con presencia a nivel internacional se encuentra en búsqueda de Analista de Microbiología que cumpla con los siguientes requisitos:Escolaridad:Licenciatura en Químico Farmacéutico Biólogo o carrera afín.Experiencia: Mínima de 3 años en puestos similares; preferentemente industria farmacéutica.Actividades:·        Realizar pruebas de esterilidad a producto terminado de acuerdo con procedimientos establecidos y elabora los reportes correspondientes.·        Realizar la biocarga y muestreo de sistemas críticos (sistema de agua).·        Realizar análisis de medios de cultivo (promoción de crecimiento y prueba de esterilidad).·        Realizar monitoreo microbiológico ambiental de las áreas controladas, así como el monitoreo de manos del personal.·        Participar en la calificación de equipo de laboratorio y en la validación de patrones de carga de las autoclaves del laboratorio.·        Realizar las pruebas de esterilidad a bioindicadores para estudios de validación de acuerdo con procedimientos establecidos y emite el reporte correspondiente.·        Verificar el estado de mantenimiento, calificación y calibración de los equipos e instrumentos asignados.·        Realizar pruebas microbiológicas para protocolos de validación.·        Realizar pruebas de resistencia térmica de acuerdo con PNO.·        Manejar el Sistema SCADA.·        Recibir muestras para pruebas microbiológicas.Conocimientos:·        Técnicas de laboratorio y Seguridad en el laboratorio.·        Manejo de reactivos químicos, tecnología farmacéutica.·        Buenas Prácticas de Laboratorio·        Buenas Prácticas de Manufactura.·        Pruebas microbiológicas.·        Paquetería Office.Ofrecemos:·        Contratación directa por la empresa.·        Atractivo sueldo.·        Prestaciones superiores a la ley.·        Disponibilidad de rolar turnos de 8 horas.",15800,18600,-2800,14,1
Farmacéutico,"Benito Juárez, Quintana Roo",Quintana Roo,Laboratorio,"Apoyar en la organización y funcionalidad de los procesos de usos y control de medicamentos dentro del Hospital., Experiencia 2 años en el área de almacén o compras en farmacias y hospitales., Manejo de paquetería office.",,"Descripción:
Apoyar en la organización y funcionalidad de los procesos de usos y control de medicamentos dentro del Hospital.
Requisitos:
Licenciatura en químico farmacéutico biólogo y/o licenciatura en farmacia.
Experiencia 2 años en el área de almacén o compras en farmacias y hospitales.
Manejo de paquetería office.
Manejo de personal.
Disponibilidad de horario.
Ofrecemos:
Prestaciones de ley (IMSS, PV, PD y Aguinaldo).
Asistencia médica gratuita. 
Descuento de comedor.
Descuento de colaborador.
Capacitación.
Uniformes.
Pagos quincenales.
Si está interesado(a) en unirte a nuestro equipo, postúlate por este medio.
¡Esperamos recibir tu solicitud!
¡Forma parte de esta gran familia!",15500,14500,1000,22,1
QUIMICO FARMACÉUTICO BIOLOGO,"León, Gto.",Guanajuato,Laboratorio,"AB Medical es una empresa líder en el sector de la administración de biológicos de alta especialidad. Con más de 13 años de experiencia en el mercado, nos destacamos por nuestro compromiso con la calidad y servicio a nuestros pacientes. Ofrecemos un ambiente laboral dinámico y colaborativo, oportunidades de crecimiento profesional y un equipo comprometido con el éxito de nuestros clientes y colaboradores., Encargado con responsabilidad técnica, operativa y administrativa, que consiste en planificar, organizar, evaluar y supervisar el medicamento de la clínica, asegurando la implementación del sistema de calidad, monitoreo y cumplimiento de la norma., Licenciado como Químico Farmacéutico Biólogo con TÍTULO Y CÉDULAMin. 2 años de experiencia en Farmacia. (No recién egresados)Min. 25 años en adelanteConocimiento en medicamentos de alta especialidad, Establecer procedimientos para la adquisición, recepción, almacenamiento, dispensación y distribución de los medicamentos apegado a la normatividad vigente.Seguimiento a sistemas farmacéuticos para el mejoramiento de la clínicaImplementar, dirigir y administrar recursos necesarios para la operación eficiente de la farmacia.Recibir los pedidos, identificando que el medicamento llegue en las óptimas condiciones y no se encuentre caducado.Supervisar el almacenamiento del medicamento adecuado.Supervisar la recepción de los medicamentos que lleguen en óptimas condiciones.Verificar lotes y fechas de caducidad identificando alertas sanitarias.Realizar inventarios de farmacia y almacénRealizar la dispensación de material y medicamentos a enfermeríaRevisar calendario y receta de pacientes para la verificación de tratamiento.Mantener abastecida la farmacia y realizar pedidos necesarios para tratamientos.","AB Medical es una empresa líder en el sector de la administración de biológicos de alta especialidad. Con más de 13 años de experiencia en el mercado, nos destacamos por nuestro compromiso con la calidad y servicio a nuestros pacientes. Ofrecemos un ambiente laboral dinámico y colaborativo, oportunidades de crecimiento profesional y un equipo comprometido con el éxito de nuestros clientes y colaboradores., Licenciado como Químico Farmacéutico Biólogo con TÍTULO Y CÉDULAMin. 2 años de experiencia en Farmacia. (No recién egresados)Min. 25 años en adelanteConocimiento en medicamentos de alta especialidad","Descripción, AB Medical es una empresa líder en el sector de la administración de biológicos de alta especialidad. Con más de 13 años de experiencia en el mercado, nos destacamos por nuestro compromiso con la calidad y servicio a nuestros pacientes. Ofrecemos un ambiente laboral dinámico y colaborativo, oportunidades de crecimiento profesional y un equipo comprometido con el éxito de nuestros clientes y colaboradores.Descripción del puesto:Encargado con responsabilidad técnica, operativa y administrativa, que consiste en planificar, organizar, evaluar y supervisar el medicamento de la clínica, asegurando la implementación del sistema de calidad, monitoreo y cumplimiento de la norma.Requisitos:Licenciado como Químico Farmacéutico Biólogo con TÍTULO Y CÉDULAMin. 2 años de experiencia en Farmacia. (No recién egresados)Min. 25 años en adelanteConocimiento en medicamentos de alta especialidadResponsabilidades:Establecer procedimientos para la adquisición, recepción, almacenamiento, dispensación y distribución de los medicamentos apegado a la normatividad vigente.Seguimiento a sistemas farmacéuticos para el mejoramiento de la clínicaImplementar, dirigir y administrar recursos necesarios para la operación eficiente de la farmacia.Recibir los pedidos, identificando que el medicamento llegue en las óptimas condiciones y no se encuentre caducado.Supervisar el almacenamiento del medicamento adecuado.Supervisar la recepción de los medicamentos que lleguen en óptimas condiciones.Verificar lotes y fechas de caducidad identificando alertas sanitarias.Realizar inventarios de farmacia y almacénRealizar la dispensación de material y medicamentos a enfermeríaRevisar calendario y receta de pacientes para la verificación de tratamiento.Mantener abastecida la farmacia y realizar pedidos necesarios para tratamientos.Prestaciones y beneficios:Sueldo de $16,000.00 menos impuestos.Prestaciones de LeyAguinaldo a 30 díasBono de puntualidad (a partir del 3er mes)Vale de despensa (a partir del 3er mes)Seguro de Gastos Médicos Mayores (al año)Acceso a Wellhub para la red de gimnasios, spa, pádel, crossfit, pilates, acompañamiento psicológico y nutriólogo.Precisos preferenciales en comedorUniformes gratuitos",15000,13500,1500,11,1
"BIOLOGO, ING. AGRONOMO, QUIMICO","Naucalpan, Naucalpan de Juárez, Edo. Méx.​",Estado de México,Laboratorio,"ROOST CONTROL DE PLAGAS Y SERVICIOS,, Compañía con más de 20 años de experiencia en servicios a gobierno y sector privado, reconocida como una de las principales compañías de servicios de control de plagas, faunas nocivas, jardinería, desinfección patógena, limpieza de hospitales, etc., está en busca de:, Experiencia en Control de Plagas., Experiencia mínima de 2 años en licitaciones públicas, elaboración y desarrollo de anexos técnicos. (Requisito necesario)., Seguimiento a los actos licitatorios y conocimiento en Anexos Técnicos","Compañía con más de 20 años de experiencia en servicios a gobierno y sector privado, reconocida como una de las principales compañías de servicios de control de plagas, faunas nocivas, jardinería, desinfección patógena, limpieza de hospitales, etc., está en busca de:, Experiencia en Control de Plagas., Experiencia mínima de 2 años en licitaciones públicas, elaboración y desarrollo de anexos técnicos. (Requisito necesario).","Descripción, ROOST CONTROL DE PLAGAS Y SERVICIOS, Compañía con más de 20 años de experiencia en servicios a gobierno y sector privado, reconocida como una de las principales compañías de servicios de control de plagas, faunas nocivas, jardinería, desinfección patógena, limpieza de hospitales, etc., está en busca de: BIÓLOGO, ING. AGRONOMO, QUÍMICO CONOCIMIENTOS Y REQUISITOS:Procedimiento para realizar licitaciones Nacionales.Titulado (con cédula profesional).Manejo Plataforma CompranetExperiencia en Control de Plagas.Experiencia mínima de 2 años en licitaciones públicas, elaboración y desarrollo de anexos técnicos. (Requisito necesario).Disponibilidad de tiempoHABILIDADES y ACTITUDES:Creativo, Iniciativa, Proactivo.Trabajo en equipo y bajo presión.Capacidad de Análisis.Calidad en el trabajoFUNCIONES PRIMORDIALES:Análisis técnico en:Licitaciones PúblicasDocumentación solicitada en las bases del procedimiento licitatorio.Elaboración de Propuesta Técnica y preparación de documentos de acuerdo y conforme al plan de Licitaciones y procedimientos establecidos.Seguimiento a los actos licitatorios y conocimiento en Anexos TécnicosApoyo y seguimiento en consolidación de proyectos y contratos.Elaboración de reportes.Atención a clientes.Se ofrece: Atractivo sueldo competitivo + Prestaciones de Ley + Oportunidad de Crecimiento a Corto PlazoHorario de lunes a viernes de 9:30 a 6:30 y sábado de 9:30 am a 2:30 pmZonas para laborar: Cd. Satélite, Naucalpan, Edo. De México.Contratación inmediataAtención; Lic. Liliam Mateos» Cantidad de vacantes: 2",15000,17100,-2100,9,1
Supervisor de producción y calidad,"Iztapalapa, CDMX",Ciudad de México,Laboratorio,"Dar arranque y supervisar las líneas de producción, desde la etapa de fabricación, hasta el acondicionamiento secundario.Asegurar el desempeño y buen funcionamiento de las líneas de producción, incluyendo área, personal y equipo.Capacitar al personal conforme a Matriz de Inducción al Puesto.Coordinar las actividades de limpieza y sanitización de áreas y equipo.Asegurar que se trabaje conforme a la NOM-059-SSA1., Contar con 2 años de experiencia en Industria Farmacéutica en:ProducciónBuenas Prácticas de Fabricación de MedicamentosControl de operaciones de fabricación y control en procesosBuenas Prácticas de DocumentaciónTiempos y movimientosCierre de expedientes de producciónControl de mermasConocimiento de la NOM-059-SSA1Seguridad e HigieneManejo de personal",Contar con 2 años de experiencia en Industria Farmacéutica en:ProducciónBuenas Prácticas de Fabricación de MedicamentosControl de operaciones de fabricación y control en procesosBuenas Prácticas de DocumentaciónTiempos y movimientosCierre de expedientes de producciónControl de mermasConocimiento de la NOM-059-SSA1Seguridad e HigieneManejo de personal,"Descripción, Escolaridad: Licenciatura concluida (Titulo y Cédula) de alguna de las siguientes carreras: Químico Farmacéutico Biólogo, Químico Farmacéutico Industrial, Ingeniero Farmacéutico o afín.ResponsabilidadesDar arranque y supervisar las líneas de producción, desde la etapa de fabricación, hasta el acondicionamiento secundario.Asegurar el desempeño y buen funcionamiento de las líneas de producción, incluyendo área, personal y equipo.Capacitar al personal conforme a Matriz de Inducción al Puesto.Coordinar las actividades de limpieza y sanitización de áreas y equipo.Asegurar que se trabaje conforme a la NOM-059-SSA1.ExperienciaContar con 2 años de experiencia en Industria Farmacéutica en:ProducciónBuenas Prácticas de Fabricación de MedicamentosControl de operaciones de fabricación y control en procesosBuenas Prácticas de DocumentaciónTiempos y movimientosCierre de expedientes de producciónControl de mermasConocimiento de la NOM-059-SSA1Seguridad e HigieneManejo de personal",15000,29500,-14500,7,1
QUIMICO EN FISICOQUIMICOS,"Guadalajara, Jal.",Jalisco,Laboratorio,"Químico Analista con Experiencia en Cromatografía de Gases y Análisis Fisicoquímicos., Estamos buscando un Químico Analista capacitado en técnicas de cromatografía de gases y análisis fisicoquímicos para unirse a nuestro equipo., ·       Realizar análisis cromatográficos utilizando equipos de GC, ·       Experiencia mínima de 2 años  en cromatografía de gases, ·       Conocimiento en manejo de equipos GC.","Químico Analista con Experiencia en Cromatografía de Gases y Análisis Fisicoquímicos., ·       Experiencia mínima de 2 años  en cromatografía de gases","Descripción, Químico Analista con Experiencia en Cromatografía de Gases y Análisis Fisicoquímicos.Vacante: Químico Analista Ubicación: Guadalajara Jalisco Descripción del Puesto: Estamos buscando un Químico Analista capacitado en técnicas de cromatografía de gases y análisis fisicoquímicos para unirse a nuestro equipo. Responsabilidades Principales: ·       Realizar análisis cromatográficos utilizando equipos de GC·       Ejecutar pruebas de esterilidad ·       Llevar a cabo análisis fisicoquímicos·       Validar métodos analíticos en el área de esterilidad y fisicoquímicos. Requisitos:·       Licenciatura en Química, Química Analítica, IBQ Químico Farmacéutico Biólogo o carrera afín.Edad comprendida entre 20 a 40 años.·       Experiencia mínima de 2 años  en cromatografía de gases·       Conocimiento en manejo de equipos GC.·       Familiaridad con normas como ISO 17025, GMP y BPL. ·       Capacidad para trabajar en equipo y atención al detalle. Prestaciones y beneficios adicionalesSueldo mensual competitivo de 15,000 a 16,000 según experiencia.Bono de puntualidad de $1,500.Prestaciones de ley.Oportunidades de desarrollo profesional.Valoramos el talento y la dedicación de nuestros colaboradores, brindando un ambiente de trabajo en el que se fomenta la excelencia y el crecimiento profesional. ¡Únete a nuestro equipo y forma parte de una empresa comprometida con la calidad y el éxito!",15000,18600,-3600,14,1
Responsable sanitario gerente de aseguramiento de calidad,"Tultitlán, Edo. Méx.​",Estado de México,Laboratorio,"Manejo de medicamentos controlados y de cadena fría (deseable)., Experiencia en auditorías sanitarias y procesos regulatorios .",Experiencia en auditorías sanitarias y procesos regulatorios .,"Descripción, DescripciónSobre nosotrosSolin Logística es una empresa líder en soluciones de transporte y distribución, con presencia en en las principales ciudades de la republica Méxicana. Nos especializamos en la logística de última milla, paquetería y distribución de productos regulados, cumpliendo con los más altos estándares de calidad y seguridad.Objetivo del puesto:Garantizar el cumplimiento normativo sanitario en nuestras operaciones de almacenamiento y distribución de productos farmacéuticos, dispositivos médicos y otros insumos regulados por COFEPRIS y la Ley General de Salud.Requisitos:-Escolaridad: Título y cédula profesional de Químico Farmacéutico Biólogo (QFB).-Disponibilidad de viajar.-Experiencia: Mínimo 2 años como Responsable Sanitario en logística o distribución farmacéutica.-Conocimientos en:Normas COFEPRIS aplicables a distribución y almacenamiento de medicamentos no controlados ( NOM-072-SSA1-2012, NOM-073-SSA1-2015, NOM-176-SSA1-1998 ).Gestión de Buenas Prácticas de Almacenamiento y Distribución .Manejo de medicamentos controlados y de cadena fría (deseable).Elaboración y gestión de documentación sanitaria para COFEPRIS .Experiencia en auditorías sanitarias y procesos regulatorios .Normativas de farmacovigilancia y tecnovigilancia .Habilidades clave-Capacidad de liderazgo y toma de decisiones.-Trabajo en equipo y comunicación efectiva.-Enfoque en cumplimiento normativo y mejora de procesos.-Ubicación: Tlajomulco de Zuñiga, Jal.Ofrecemos:-Sueldo competitivo acorde a experiencia.-Prestaciones de ley y superiores (IMSS, Seguro de Vida, bonos de desempeño, etc.).-Estabilidad y desarrollo profesional en empresa en expansión.-Capacitación continua y oportunidades de crecimiento.",15000,17100,-2100,9,1
Vendedor de equipos para laboratorio y medicos,Ciudad de México,Ciudad de México,Laboratorio,"Somos CTR Scientific, una empresa con 55 años de experiencia en la comercialización de equipo para laboratorio. Contamos con 15 sucursales en toda la República Mexicana y estamos comprometidos con la excelencia en el servicio al cliente., Buscamos profesionales apasionados por las ventas con experiencia en la industria farmacéutica y comprometidos con brindar un servicio excepcional al cliente. Si tienes experiencia en ventas y un verdadero entusiasmo por la atención al cliente, ¡te estamos buscando!","Somos CTR Scientific, una empresa con 55 años de experiencia en la comercialización de equipo para laboratorio. Contamos con 15 sucursales en toda la República Mexicana y estamos comprometidos con la excelencia en el servicio al cliente., Buscamos profesionales apasionados por las ventas con experiencia en la industria farmacéutica y comprometidos con brindar un servicio excepcional al cliente. Si tienes experiencia en ventas y un verdadero entusiasmo por la atención al cliente, ¡te estamos buscando!","Descripción, ¡Únete a Nuestro Equipo en CTR Scientific!Sobre Nosotros:Somos CTR Scientific, una empresa con 55 años de experiencia en la comercialización de equipo para laboratorio. Contamos con 15 sucursales en toda la República Mexicana y estamos comprometidos con la excelencia en el servicio al cliente.Perfil del Candidato:Buscamos profesionales apasionados por las ventas con experiencia en la industria farmacéutica y comprometidos con brindar un servicio excepcional al cliente. Si tienes experiencia en ventas y un verdadero entusiasmo por la atención al cliente, ¡te estamos buscando!Licenciatura o ingeniería en:BiologíaIngeniería QuímicaQuímicaQFB (Químico Farmacéutico Biólogo)QBP (Químico Bacteriólogo Parasitólogo)Lo que ofrecemos:Sueldo base competitivoComisiones atractivas:Aseguradas durante los primeros 3 meses Horario:Lunes a viernes, de 08:00 am a 6:00 pmBeneficios:Prestaciones de ley y beneficios adicionales proporcionados por la empresaUbicación:Nte. 59 Col, Industrial Vallejo, Azcapotzalco, 02300 Ciudad de México, CDMX",15000,29500,-14500,7,1
Responsable sanitario,San Luis Potosí,Nuevo León,Industria de Producción Biológica,"Experiencia mínima de 2 años como Responsable Sanitario ., Manejo de sistemas de gestión de calidad., Supervisar el cumplimiento de la normatividad sanitaria en el manejo, almacenamiento y distribución de medicamentos., Capacidad de análisis y toma de decisiones., Liderazgo técnico y comunicación efectiva.",Experiencia mínima de 2 años como Responsable Sanitario .,"Descripción, OBJETIVO:Supervisar, controlar y asegurar el cumplimiento de la normatividad sanitaria aplicable en la operación de la distribuicion de medicamentos, garantizando la calidad, trazabilidad y seguridad de los productos manejados.REQUISITOS:Licenciatura concluida en:Químico Farmacéutico Biólogo (QFB)Químico Farmacéutico Industrial (QFI)Contar con título y cédula profesional (indispensable).Experiencia mínima de 2 años como Responsable Sanitario .Conocimiento sólido en:Buenas Prácticas de Almacenamiento y Distribución (BPD).NOM-059, NOM-072, NOM-073 y otras normas aplicables.Regulación COFEPRIS y trámites sanitarios.Manejo de sistemas de gestión de calidad.Disponibilidad para firma ante COFEPRIS como Responsable Sanitario.ACTIVIDADES PRINCIPALES:Supervisar el cumplimiento de la normatividad sanitaria en el manejo, almacenamiento y distribución de medicamentos.Verificar condiciones de almacenamiento (temperatura, humedad, orden, limpieza).Participar en auditorías internas y externas.Gestionar y revisar documentación sanitaria, bitácoras, registros y procedimientos normalizados de operación (PNOs).Capacitar al personal.Validar lotes y asegurar la trazabilidad de productos.Reportar incidencias, desviaciones o riesgos sanitarios.Coordinar planes de contingencia y retiro de productos si es necesario.HABILIDADES Y COMPETENCIAS:Alto sentido de responsabilidad y ética profesional.Capacidad de análisis y toma de decisiones.Organización y atención al detalle.Liderazgo técnico y comunicación efectiva.Adaptabilidad a cambios regulatorios y mejora continua.",15000,23500,-8500,18,2
Químico fármaco biólogo / Bioquímico diagnostico,"Naucalpan de Juárez, Estado de México",Estado de México,Laboratorio,"Buscamos un Químico Farmacéutico Biólogo o Bioquímico Diagnóstico para incorporarse a nuestro equipo., Con experiencia en áreas analíticas de hematología y química clínica.",,"Buscamos un Químico Farmacéutico Biólogo o Bioquímico Diagnóstico para incorporarse a nuestro equipo. 

Con experiencia en áreas analíticas de hematología y química clínica.",15000,17100,-2100,9,1
"Biólogo especialista en Flora, Monterrey","Pesquería, Nuevo León",Nuevo León,Laboratorio,"CSIPA, es una empresa mexicana con más de 20 años de experiencia que ofrece servicios técnicos especializados en Seguridad Industrial, Funcional y Protección Ambiental a través de estudios, evaluaciones, consultorías y capacitaciones., Experiencia que se requiere:, Tiempo de experiencia que se requiere:, Diseño de plantaciones, elaboración de informes de seguimiento de informes de seguimiento de CUSTF, supervisión de personal de mantenimiento de plantaciones forestales, evaluación de sobrevivencia de plantación, conocimiento en plantaciones forestales del NORESTE, evaluación Fito Sanitaria., Planear actividades semanales de cuidado de plantación in situ, supervisión del personal (riego, chapeo, evaluación de sobrevivencia mensual, evaluación fitosanitaria mensual, elaboración de reportes de campo semanales y mensuales, identificación de riesgos de plantación., Liderear el correcto manejo y sobrevivencia de plantación forestal., Estamos comprometidos con la equidad de género e igualdad de oportunidades para el acceso a la vida laboral. Contamos con una política de no discriminación que se aplica en los procesos de reclutamiento y selección por lo que queda estrictamente prohibida cualquier forma de maltrato, violencia y segregación de las autoridades del centro de trabajo hacia el personal y entre el personal en materia de:",,"CSIPA, es una empresa mexicana con más de 20 años de experiencia que ofrece servicios técnicos especializados en Seguridad Industrial, Funcional y Protección Ambiental a través de estudios, evaluaciones, consultorías y capacitaciones.
Hoy nos encontramos en proceso de expansión, si estás en búsqueda de nuevas oportunidades para fortalecer tu crecimiento personal y laboral, te invitamos a formar parte de nuestra misión y juntos establezcamos alianzas para proteger a los Individuos y su entorno.

Vacante disponible únicamente para personas residentes en Monterrey, N.L.

Escolaridad: 
Licenciatura, Maestría y Doctorado, (AGRONOMÍA, BIOLOGÍA, FORESTAL E ING. AMBIENTAL)
Lugar para laborar: 
Monterrey
Disponibilidad para viajar
Trabajo 100% en campo
Licencia de manejo
Experiencia que se requiere: 
Coordinador de plantaciones de reubicación y reforestación derivadas de CUSTF.
Tiempo de experiencia que se requiere: 
5 años.
Informática: 
Office (indispensable)
Conocimientos adicionales: 
Botánica y fitosanitarias
Competencias Requeridas: 
Diseño de plantaciones, elaboración de informes de seguimiento de informes de seguimiento de CUSTF, supervisión de personal de mantenimiento de plantaciones forestales, evaluación de sobrevivencia de plantación, conocimiento en plantaciones forestales del NORESTE, evaluación Fito Sanitaria.
Actividades a realizar: 
Planear actividades semanales de cuidado de plantación in situ, supervisión del personal (riego, chapeo, evaluación de sobrevivencia mensual, evaluación fitosanitaria mensual, elaboración de reportes de campo semanales y mensuales, identificación de riesgos de plantación.
del puesto: 
Liderear el correcto manejo y sobrevivencia de plantación forestal.
Responsabilidades principales del puesto: 
Supervisión del personal, cumplimiento de metas de sobrevivencia y elaboración de reportes de campo.
Ofrecemos:
Sueldo base
Pago semanal
Prestaciones de ley

Si estás interesado y cumples con el perfil postúlate por este medio.
Estamos comprometidos con la equidad de género e igualdad de oportunidades para el acceso a la vida laboral. Contamos con una política de no discriminación que se aplica en los procesos de reclutamiento y selección por lo que queda estrictamente prohibida cualquier forma de maltrato, violencia y segregación de las autoridades del centro de trabajo hacia el personal y entre el personal en materia de:
Apariencia física, cultura, discapacidad, Idioma, Sexo, Género, Condición social, económica, de salud o jurídica. Embarazo, Estado civil o conyugal, religión, Opiniones ideológicas, Origen étnico o nacional, Orientación Sexual.
Aceptamos a personas con discapacidad, de la comunidad LGBTI, adultos mayores y personas afro descendientes no solicitamos exámenes para la detección del virus de la inmunodeficiencia adquirida VIH, ni pruebas de embarazo.",15000,23500,-8500,18,1
